Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
139,32,4,124,4,Some Random Commen with Id 139
140,32,4,125,7,Some Random Commen with Id 140
141,32,4,175,2,Some Random Commen with Id 141
142,32,4,171,5,Some Random Commen with Id 142
143,32,4,0,6,Some Random Commen with Id 143
144,32,4,153,5,Some Random Commen with Id 144
145,32,4,25,7,Some Random Commen with Id 145
146,32,4,158,6,Some Random Commen with Id 146
147,33,3,155,3,Some Random Commen with Id 147
148,33,3,97,2,Some Random Commen with Id 148
149,33,3,127,9,Some Random Commen with Id 149
150,33,3,83,5,Some Random Commen with Id 150
151,33,3,161,3,Some Random Commen with Id 151
152,33,3,126,4,Some Random Commen with Id 152
153,33,3,104,8,Some Random Commen with Id 153
154,33,3,54,9,Some Random Commen with Id 154
155,33,3,103,8,Some Random Commen with Id 155
156,34,9,76,5,Some Random Commen with Id 156
157,34,9,164,0,Some Random Commen with Id 157
158,34,9,95,8,Some Random Commen with Id 158
159,34,9,108,3,Some Random Commen with Id 159
160,34,9,80,0,Some Random Commen with Id 160
161,34,9,193,7,Some Random Commen with Id 161
162,35,1,173,3,Some Random Commen with Id 162
163,35,1,11,3,Some Random Commen with Id 163
164,35,1,34,2,Some Random Commen with Id 164
165,35,1,44,4,Some Random Commen with Id 165
166,35,1,144,7,Some Random Commen with Id 166
167,35,1,189,9,Some Random Commen with Id 167
168,35,1,38,0,Some Random Commen with Id 168
169,35,1,98,1,Some Random Commen with Id 169
170,36,2,123,3,Some Random Commen with Id 170
171,36,2,135,4,Some Random Commen with Id 171
172,36,2,112,0,Some Random Commen with Id 172
173,37,7,153,4,Some Random Commen with Id 173
174,37,7,98,6,Some Random Commen with Id 174
175,37,7,27,8,Some Random Commen with Id 175
176,37,7,129,4,Some Random Commen with Id 176
177,37,7,110,8,Some Random Commen with Id 177
178,37,7,10,1,Some Random Commen with Id 178
179,37,7,75,6,Some Random Commen with Id 179
180,37,7,93,8,Some Random Commen with Id 180
181,38,5,112,2,Some Random Commen with Id 181
182,38,5,3,4,Some Random Commen with Id 182
183,38,5,67,5,Some Random Commen with Id 183
184,38,5,132,9,Some Random Commen with Id 184
185,38,5,94,7,Some Random Commen with Id 185
186,38,5,190,1,Some Random Commen with Id 186
187,39,6,60,5,Some Random Commen with Id 187
188,39,6,94,9,Some Random Commen with Id 188
189,39,6,163,2,Some Random Commen with Id 189
190,39,6,98,9,Some Random Commen with Id 190
191,39,6,77,8,Some Random Commen with Id 191
192,39,6,63,6,Some Random Commen with Id 192
193,39,6,90,0,Some Random Commen with Id 193
194,39,6,14,5,Some Random Commen with Id 194
195,39,6,166,6,Some Random Commen with Id 195
